City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
176,Olafsvik,64.8945,-23.7142,37.35,96,100,25.64,overcast clouds,IS
177,Villarrica,-25.75,-56.4333,86.77,52,12,3.36,few clouds,PY
178,Leh,34.1667,77.5833,32.5,70,97,5.95,light snow,IN
179,Pisco,-13.7,-76.2167,69.03,88,81,10.36,haze,PE
180,Kharp,66.8014,65.8081,11.93,98,100,2.57,overcast clouds,RU
181,Baie-Comeau,49.2168,-68.1489,35.28,93,100,6.91,mist,CA
182,Znamenskoye,57.1281,73.8282,24.67,89,10,3.76,clear sky,RU
183,Horta,38.5333,-28.6333,56.84,72,40,24.16,scattered clouds,PT
184,Sept-Iles,50.2001,-66.3821,36.05,95,100,9.22,light intensity drizzle,CA
185,Soyo,-6.1349,12.3689,80.76,77,100,8.68,overcast clouds,AO
186,Mattru,7.6244,-11.8332,89.46,55,100,7.58,overcast clouds,SL
187,Dubai,25.2582,55.3047,85.93,45,0,4.61,clear sky,AE
188,Bollnas,61.3482,16.3946,34.5,80,95,8.21,overcast clouds,SE
189,Kalmunai,7.4167,81.8167,79.63,81,100,3.24,moderate rain,LK
190,Kamenka,51.3223,42.7678,48.02,89,58,0.98,broken clouds,RU
191,Rehoboth,-23.3167,17.0833,73.6,19,0,16.37,clear sky,NA
192,Ampanihy,-24.7,44.75,73.42,80,28,14.79,scattered clouds,MG
193,Ati,13.2154,18.3353,95.05,8,50,5.88,scattered clouds,TD
194,Cururupu,-1.8283,-44.8683,75.85,96,100,6.6,moderate rain,BR
195,Manakara,-22.1333,48.0167,75.34,82,1,5.57,clear sky,MG
196,Danville,36.586,-79.395,52.34,41,40,12.66,scattered clouds,US
197,Florina,40.782,21.4098,57.31,66,2,7.38,clear sky,GR
198,Mantua,45.1667,10.7833,58.24,73,30,24.18,scattered clouds,IT
199,Moyale,3.5167,39.0584,74.35,53,60,7.85,broken clouds,KE
200,Natal,-5.795,-35.2094,89.82,58,40,19.57,scattered clouds,BR
201,Walvis Bay,-22.9575,14.5053,65.39,65,12,12.08,few clouds,NA
202,Sun Prairie,43.1836,-89.2137,46.08,54,20,10.36,few clouds,US
203,Calvia,39.5657,2.5062,66.67,42,16,3.56,few clouds,ES
204,Atkinson,42.8384,-71.147,58.14,74,100,4.61,overcast clouds,US
205,La Peca,-5.6111,-78.435,78.98,70,100,3.49,light rain,PE
