City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Dubai,AE,85.93,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
189,Kalmunai,LK,79.63,moderate rain,7.4167,81.8167,VS Villa
192,Ampanihy,MG,73.42,scattered clouds,-24.7,44.75,Angora Hotel
194,Cururupu,BR,75.85,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
195,Manakara,MG,75.34,clear sky,-22.1333,48.0167,La Residence Manakara
199,Moyale,KE,74.35,broken clouds,3.5167,39.0584,La Tahzan Guest House
200,Natal,BR,89.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
203,Calvia,ES,66.67,few clouds,39.5657,2.5062,Castell Son Claret
205,La Peca,PE,78.98,light rain,-5.6111,-78.435,Hospedaje San Miguelito
206,Beira,MZ,75.72,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
208,Bin Qirdan,TN,71.42,clear sky,33.1378,11.2197,Hôtel Palace
210,Tarsus,TR,66.58,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
211,Dera Bugti,PK,87.13,clear sky,29.0307,69.151,Nawab Bugti House
213,Marsh Harbour,BS,72.3,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
214,Belmonte,BR,82.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
219,Cape Canaveral,US,71.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
221,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
223,Khandbari,NP,68.04,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
224,Bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
226,Senges,BR,81.91,broken clouds,-24.1128,-49.4636,Centro de Lazer Bela VIsta
227,Bella Union,UY,79.93,clear sky,-30.2752,-57.6007,Saville Free Shop
229,Touros,BR,86.61,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Benjamin Aceval,PY,82.6,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
231,Tchollire,CM,93.15,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
233,Matara,LK,77.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
239,Manaure,CO,88.07,overcast clouds,11.7751,-72.4445,Hotel Palaaima
241,Andros Town,BS,76.96,broken clouds,24.7,-77.7667,Hanks place
243,Humberto De Campos,BR,83.1,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
246,Illapel,CL,73.15,clear sky,-31.6308,-71.1653,Hotel Londres
247,Muros,ES,68.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
248,Dovers,VC,83.79,broken clouds,12.8833,-61.1833,Ocean Breeze
250,Ponnani,IN,76.32,moderate rain,10.767,75.9252,Rouba Residency
